fitness,foodEaten,distanceTravelled,children,viewDistance,sleepTime,metabolism
-20,0,0,0,294,437,5
-9,1,100,0,341,198,4
-2,8,226,0,400,144,3
-20,0,0,0,357,495,6
-20,0,0,0,100,490,1
-10,0,200,0,458,200,8
6,6,350,0,285,129,8
-20,0,292,0,464,165,4
-5,5,124,0,143,260,5
3,3,246,0,318,218,9
-20,0,0,0,342,390,9
-20,0,0,0,445,474,5
9,9,378,0,300,171,9
-20,0,0,0,276,119,4
-20,0,0,0,182,498,3
4,14,538,0,321,103,6
-3,7,394,0,67,188,6
-20,0,16,0,213,391,5
-10,0,268,0,414,278,6
-20,0,2,0,447,417,8
10,20,578,1,215,134,2
-2,8,158,0,101,350,2
22,32,634,1,276,119,6
-10,0,268,0,416,315,6
-8,2,144,0,254,118,2
-20,0,0,0,225,134,2
14,14,550,0,262,201,8
-10,0,78,0,480,445,2
4,4,344,0,268,313,7
2,2,250,0,396,365,8
-20,0,6,0,102,487,5
-20,0,32,0,471,480,7
10,10,400,0,298,332,9
1,1,200,0,106,434,9
17,17,834,0,175,118,6
23,33,836,2,254,118,1
-20,0,0,0,68,199,4
-10,0,200,0,279,466,8
2,2,500,0,405,321,4
-3,7,338,0,220,410,7
12,22,696,0,164,230,4
22,22,750,0,374,212,8
-20,0,66,0,224,118,1
-4,6,280,0,181,459,7
2,2,286,0,79,459,7
5,15,920,0,338,148,1
-10,0,320,0,392,474,5
6,16,758,0,91,259,4
28,38,742,2,87,266,4
2,12,432,0,143,424,7
-20,0,318,0,91,486,5
9,19,512,1,87,389,1
-10,0,320,0,60,490,5
-10,0,320,0,450,495,5
4,14,1098,0,437,117,1
20,30,948,1,68,199,5
0,10,1092,0,439,134,2
-10,0,400,0,455,488,4
-7,3,926,0,458,225,1
-20,0,110,0,67,266,4
-20,0,0,0,87,286,4
22,32,938,0,157,260,8
3,13,640,0,299,423,6
-10,0,800,0,484,364,2
19,29,1352,0,215,118,3
-9,1,36,0,87,359,1
-20,0,0,0,164,104,9
98,98,2130,1,164,104,9
-20,0,0,0,157,133,5
133,143,3530,5,177,133,5
-20,0,0,0,177,133,3
17,27,586,2,177,113,2
-20,0,0,0,177,123,2
