fitness,foodEaten,distanceTravelled,children,viewDistance,sleepTime,metabolism
-10,0,160,0,52,135,5
-10,0,89,0,244,231,9
-10,0,100,0,362,259,8
1,1,177,0,134,259,8
-10,0,89,0,497,386,9
-10,0,160,0,240,315,5
-10,0,115,0,201,376,7
-10,0,267,0,343,326,3
-10,0,267,0,229,430,3
4,4,397,0,312,489,8
4,4,703,0,109,215,6
-10,0,800,0,472,417,1
1,1,1502,0,280,287,3
2,2,2810,0,140,500,2
-10,0,1171,0,280,287,3
5,5,4237,0,140,500,2
-10,0,1908,0,263,411,2
6,6,3202,0,280,287,3
24,24,6412,2,280,287,3
4,4,3059,1,263,411,2
5,5,2612,1,263,411,2
23,23,7947,3,140,500,2
21,21,8509,2,263,411,2
5,5,2882,1,140,500,2
10,10,5575,1,263,411,2
2,2,2995,0,263,411,2
4,4,2259,0,280,287,3
34,34,8880,4,280,287,3
3,3,3629,0,140,500,2
-10,0,1186,0,280,287,3
8,8,7171,0,140,500,2
30,30,10420,3,140,500,2
3,3,2375,0,280,287,3
46,46,11759,4,280,287,3
-10,0,1530,0,280,287,3
10,10,3335,1,280,287,3
10,10,5797,1,140,500,2
1,1,1878,0,280,287,3
5,5,2768,1,140,500,2
1,1,2375,0,140,500,2
9,9,3987,0,280,287,3
1,1,1307,0,280,287,3
39,39,8966,5,280,287,3
22,22,7628,1,280,287,3
21,21,2576,2,280,287,3
3,3,1892,0,280,287,3
6,6,3233,0,280,287,3
2,2,2017,0,280,287,3
14,14,3466,2,280,287,3
8,8,4030,0,280,287,3
5,5,2720,0,280,287,3
7,7,3365,0,280,287,3
13,13,6175,0,280,287,3
3,3,2337,0,280,287,3
29,29,7481,3,280,287,3
19,19,6758,1,280,287,3
3,3,1997,0,280,287,3
4,4,2874,0,280,287,3
3,3,2220,0,280,287,3
13,13,4823,1,280,287,3
-10,0,1236,0,280,287,3
12,12,4546,1,280,287,3
3,3,1857,0,280,287,3
113,113,26066,8,280,287,3
18,18,5709,1,280,287,3
